episode,reward,acc,loss,reward_ma10,acc_ma10
114,0.3500,0.3377,-0.1167,0.2475,0.4600
115,0.1000,0.2857,-0.1488,0.2175,0.4323
116,0.1500,0.4167,-0.1294,0.2025,0.4240
117,-0.0500,0.5000,-0.1130,0.1725,0.4290
118,0.6778,0.8333,-0.1253,0.2603,0.4816
119,0.1000,0.3721,-0.1085,0.2378,0.4688
120,0.1000,0.5882,-0.0984,0.2378,0.4676
121,-0.3500,0.4167,-0.1035,0.1878,0.4708
122,0.4667,0.6444,-0.1211,0.1844,0.4795
123,0.1500,0.5000,-0.1039,0.1694,0.4895
124,0.1000,0.5000,-0.1144,0.1444,0.5057
125,0.3000,0.4167,-0.0918,0.1644,0.5188
126,0.1500,0.3750,-0.1005,0.1644,0.5146
127,0.2513,0.7179,-0.0969,0.1946,0.5364
128,0.2500,0.3889,-0.0984,0.1518,0.4920
129,0.3500,0.4074,-0.1062,0.1768,0.4955
130,0.7833,0.8333,-0.0999,0.2451,0.5200
131,0.1417,0.4167,-0.1206,0.2943,0.5200
132,-0.0500,0.5405,-0.1631,0.2426,0.5096
133,0.3000,0.4857,-0.1733,0.2576,0.5082
134,0.1500,0.3913,-0.1877,0.2626,0.4973
135,-0.2000,0.5714,-0.2466,0.2126,0.5128
136,0.3800,0.6400,-0.2592,0.2356,0.5393
137,0.0500,0.5000,-0.2346,0.2155,0.5175
138,-0.0500,0.3636,-0.2743,0.1855,0.5150
139,0.3000,0.4333,-0.2605,0.1805,0.5176
140,-0.0267,0.3953,-0.2811,0.0995,0.4738
141,0.4500,0.4286,-0.2497,0.1303,0.4750
142,0.0500,0.6316,-0.2207,0.1403,0.4841
143,0.3667,0.4000,-0.2517,0.1470,0.4755
144,0.2500,0.5000,-0.2323,0.1570,0.4864
145,-0.1000,0.5833,-0.2300,0.1670,0.4876
146,0.3500,0.6197,-0.1876,0.1640,0.4856
147,0.0000,0.5000,-0.2255,0.1590,0.4856
