1,entropy,2,0.3394,0.1259,0.2482,0.1433,0.5625,0.2564,0.6383,5.15
1,entropy,8,0.3399,0.1225,0.2555,0.1456,0.5534,0.2551,0.7482,5.15
1,conc_pop,2,0.3252,0.1129,0.2400,0.1303,0.5384,0.2355,0.7688,7.99
1,conc_pop,8,0.3366,0.1147,0.2448,0.1340,0.5555,0.2420,0.7978,7.99
1,casperr_st_conc_bc,2,0.3394,0.1259,0.2482,0.1433,0.5625,0.2564,0.6383,5.89
1,casperr_st_conc_bc,8,0.3374,0.1182,0.2554,0.1435,0.5471,0.2492,0.7355,5.89
1,casperr_st_conc_ep1,2,0.3232,0.1269,0.2475,0.1410,0.5392,0.2679,0.7237,6.19
1,casperr_st_conc_ep1,8,0.3330,0.1156,0.2523,0.1509,0.5434,0.2396,0.7917,6.19
1,casperr_st_conc_ep2,2,0.3232,0.1269,0.2475,0.1410,0.5392,0.2679,0.7237,6.54
1,casperr_st_conc_ep2,8,0.3321,0.1246,0.2533,0.1479,0.5418,0.2622,0.7996,6.54
1,casperr_st_conc_ep3,2,0.3232,0.1269,0.2475,0.1410,0.5392,0.2679,0.7237,6.42
1,casperr_st_conc_ep3,8,0.3325,0.1279,0.2532,0.1471,0.5401,0.2659,0.8028,6.42
1,casperr_st_conc_ep4,2,0.3231,0.1278,0.2524,0.1467,0.5267,0.2637,0.6603,6.42
1,casperr_st_conc_ep4,8,0.3311,0.1220,0.2510,0.1449,0.5439,0.2520,0.7925,6.42
1,casperr_st_conc_ep5,2,0.3231,0.1278,0.2524,0.1467,0.5267,0.2637,0.6603,6.52
1,casperr_st_conc_ep5,8,0.3336,0.1304,0.2512,0.1450,0.5384,0.2681,0.7968,6.52
1,casperr_st_conc_ep6,2,0.3166,0.1168,0.2442,0.1346,0.5233,0.2721,0.7187,6.66
1,casperr_st_conc_ep6,8,0.3238,0.1219,0.2489,0.1400,0.5234,0.2511,0.7879,6.66
