1,entropy,0,0.3125,0.0834,0.2421,0.1217,0.5028,0.1915,0.0000,5.12
1,entropy,2,0.3506,0.1280,0.2457,0.1446,0.5572,0.2541,0.3402,5.12
1,entropy,4,0.3569,0.1371,0.2550,0.1538,0.5697,0.2719,0.5342,5.12
1,entropy,8,0.3617,0.1387,0.2484,0.1521,0.5623,0.2607,0.6350,5.12
1,conc_pop,0,0.3125,0.0834,0.2421,0.1217,0.5028,0.1915,0.0000,7.99
1,conc_pop,2,0.3213,0.1302,0.2491,0.1514,0.4917,0.2766,0.7569,7.99
1,conc_pop,4,0.3301,0.1308,0.2498,0.1542,0.5207,0.2633,0.7945,7.99
1,conc_pop,8,0.3426,0.1279,0.2546,0.1605,0.5334,0.2663,0.8109,7.99
1,contactor,0,0.3125,0.0834,0.2421,0.1217,0.5028,0.1915,0.0000,8.00
1,contactor,2,0.3300,0.1299,0.2559,0.1673,0.5107,0.2381,0.8103,8.00
1,contactor,4,0.3602,0.1599,0.2642,0.1865,0.5757,0.3049,0.8679,8.00
1,contactor,8,0.3666,0.1656,0.2686,0.1887,0.5811,0.3268,0.9221,8.00
1,entdistill_ep4,0,0.3125,0.0834,0.2421,0.1217,0.5028,0.1915,0.0000,5.24
1,entdistill_ep4,2,0.3555,0.1329,0.2360,0.1519,0.5701,0.2502,0.5807,5.24
1,entdistill_ep4,4,0.3604,0.1364,0.2494,0.1541,0.5614,0.2620,0.6413,5.24
1,entdistill_ep4,8,0.3611,0.1496,0.2520,0.1629,0.5594,0.2860,0.7386,5.24
2,entropy,0,0.3099,0.0854,0.2390,0.1157,0.4953,0.1830,0.0000,5.19
2,entropy,2,0.3429,0.1207,0.2431,0.1328,0.5418,0.2429,0.3639,5.19
2,entropy,4,0.3592,0.1311,0.2509,0.1399,0.5662,0.2520,0.5342,5.19
2,entropy,8,0.3600,0.1342,0.2446,0.1493,0.5610,0.2650,0.6410,5.19
2,conc_pop,0,0.3099,0.0854,0.2390,0.1157,0.4953,0.1830,0.0000,7.99
2,conc_pop,2,0.3265,0.1173,0.2470,0.1448,0.5085,0.2554,0.7512,7.99
2,conc_pop,4,0.3367,0.1202,0.2486,0.1537,0.5306,0.2467,0.7922,7.99
2,conc_pop,8,0.3453,0.1176,0.2557,0.1558,0.5303,0.2411,0.8105,7.99
2,contactor,0,0.3099,0.0854,0.2390,0.1157,0.4953,0.1830,0.0000,8.00
2,contactor,2,0.3288,0.1229,0.2554,0.1599,0.5123,0.2414,0.8077,8.00
2,contactor,4,0.3636,0.1533,0.2632,0.1807,0.5904,0.3040,0.8660,8.00
2,contactor,8,0.3650,0.1605,0.2635,0.1787,0.5716,0.3212,0.9181,8.00
2,entdistill_ep4,0,0.3099,0.0854,0.2390,0.1157,0.4953,0.1830,0.0000,5.43
2,entdistill_ep4,2,0.3530,0.1258,0.2315,0.1403,0.5651,0.2391,0.5906,5.43
