2,entdistill_ep6,2,0.3409,0.1215
2,entdistill_ep6,4,0.3593,0.1315
2,entdistill_ep6,8,0.3537,0.1487
2,entdistill_ep7,0,0.3099,0.0854
2,entdistill_ep7,2,0.3409,0.1215
2,entdistill_ep7,4,0.3593,0.1315
2,entdistill_ep7,8,0.3538,0.1472
2,entdistill_ep8,0,0.3099,0.0854
2,entdistill_ep8,2,0.3409,0.1215
2,entdistill_ep8,4,0.3593,0.1315
2,entdistill_ep8,8,0.3551,0.1488
2,entdistill_ep9,0,0.3099,0.0854
2,entdistill_ep9,2,0.3447,0.1235
2,entdistill_ep9,4,0.3576,0.1349
2,entdistill_ep9,8,0.3546,0.1408
2,entdistill_ep10,0,0.3099,0.0854
2,entdistill_ep10,2,0.3447,0.1235
2,entdistill_ep10,4,0.3603,0.1323
2,entdistill_ep10,8,0.3558,0.1463
3,entropy,0,0.3037,0.0791
3,entropy,2,0.3406,0.1170
3,entropy,4,0.3567,0.1394
3,entropy,8,0.3618,0.1419
3,conc_pop,0,0.3037,0.0791
3,conc_pop,2,0.3290,0.1281
3,conc_pop,4,0.3402,0.1329
3,conc_pop,8,0.3468,0.1310
3,entdistill_ep1,0,0.3037,0.0791
3,entdistill_ep1,2,0.3456,0.1335
3,entdistill_ep1,4,0.3601,0.1417
3,entdistill_ep1,8,0.3610,0.1499
3,entdistill_ep2,0,0.3037,0.0791
3,entdistill_ep2,2,0.3544,0.1317
3,entdistill_ep2,4,0.3572,0.1406
3,entdistill_ep2,8,0.3611,0.1511
3,entdistill_ep3,0,0.3037,0.0791
3,entdistill_ep3,2,0.3544,0.1317
3,entdistill_ep3,4,0.3584,0.1409
3,entdistill_ep3,8,0.3620,0.1525
3,entdistill_ep4,0,0.3037,0.0791
3,entdistill_ep4,2,0.3544,0.1317
3,entdistill_ep4,4,0.3584,0.1409
3,entdistill_ep4,8,0.3626,0.1533
3,entdistill_ep5,0,0.3037,0.0791
3,entdistill_ep5,2,0.3434,0.1304
3,entdistill_ep5,4,0.3584,0.1409
3,entdistill_ep5,8,0.3626,0.1495
3,entdistill_ep6,0,0.3037,0.0791
3,entdistill_ep6,2,0.3434,0.1304
3,entdistill_ep6,4,0.3582,0.1412
3,entdistill_ep6,8,0.3602,0.1521
3,entdistill_ep7,0,0.3037,0.0791
3,entdistill_ep7,2,0.3434,0.1304
3,entdistill_ep7,4,0.3582,0.1412
3,entdistill_ep7,8,0.3591,0.1494
3,entdistill_ep8,0,0.3037,0.0791
3,entdistill_ep8,2,0.3434,0.1304
3,entdistill_ep8,4,0.3582,0.1412
3,entdistill_ep8,8,0.3604,0.1483
3,entdistill_ep9,0,0.3037,0.0791
3,entdistill_ep9,2,0.3504,0.1354
3,entdistill_ep9,4,0.3549,0.1408
